关键控制系统	critical control system
NMOS集成逻辑门	NMOS集成门
分级式可控并联电抗器	分级控制电抗器
确定性方法	惯用法
限竞争性选择招标	limited competitive selected bidding
点腐蚀	孔蚀
上进行后热	消氢处理
光时域反射仪	光时域反射计
质量计划	检查及试验计划
被动检修	break maintenance
突然加电压保护	误上电
年逐日最大发电负荷曲线及年逐月最大发电负荷曲线	年负荷曲线
职业发展阶段	职业生涯发展阶段
金属组织性能变化	老化
核电厂运行状态	运行工况
碱活性反应	碱－硅酸盐反应
膜片	膜盒
刀形动触头	动触刀
非电保安措施	非电性质的保安措施
回归	regression
制造锅炉锅筒	汽包
转速脉冲发生器	磁阻发生器
一只叶片一般由叶身	叶型部分
一只叶片一般由叶身	工作部分
成员	联络成员
烟气循环流化床法脱硫	气体悬浮吸收工艺
电动机	普用电动机
混合电化学电容器	不对称电化学电容器
洪水	山洪
洪水	骤发洪水
高频保护	电力线载波继电保护
可靠度函数	reliability function
第一次引入了类	class
电解质学	离子学
国家	库容选择
漏电流	旁路电流
弧度	rad
PPTP	point to point tunneling protocol
标签	tag
最大出力	预想出力
雪崩型二极管	avalanche diode
星球表面的	星球表面核反应堆电源
被控制系统	输出回路
连续操作	continuous operations
消弧线圈装置	消弧电抗器
可逆热机	卡诺热机
开路故障	open circuit failure
照明器	灯具
见图2	接地箱壳式
主账户	一级账户
万用示波表	掌上示波表
变压器联结组别	联结组标号
市瓦基莎	 agisza
12脉动	脉波
12脉动	12脉波
熔融床	熔盐床
高压直流输电系统	端对端直流输电系统
活性二氧化硅成分反应产生碱硅酸盐凝胶	碱硅凝胶
光电三极管	光敏三极管
综合资源规划	最小成本电力规划
泄水建筑物	排沙建筑物
反应堆冷却剂管道	主管道
并网光伏发电系统	并网光伏电站
大气边界层	行星边界层
SCADA	supervisory control and data acquisition
网络图论	网络拓扑
吸附剂连续再生装置	净油器
频次	frequency
有源配电网	主动配电网
电力电子器件	电力半导体器件
反应堆倍周期Tb	doubling time
恢复控制	restorative control
堆内下部构件	吊篮
改善心智模式	improving mental models
充裕性	充裕度
充裕性	静态可靠性
电弧炉电极调节器	电弧炉功率自动调节器
转动元件由转盘	圆盘
效能	availability
齐纳效应	齐纳击穿
磁场耦合	感性耦合
纵波	P波
纵波	longitudinal wave
纵波	压缩波
基本统计对象	unit approach
全停状态	dead state
压敏电阻器	通流量
压敏电阻器	等待电流
击穿电压	着火电压
互感	磁耦合回路
剩余电流动作保护器	漏电开关
剩余电流动作保护器	漏电保护器
全要素生产率	技术进步率
项目国民经济评价	经济分析
额定电流	rms
Nuclear Reactor Instrumentation	in core
调度机构	电力系统调度
电感器	电感线圈
TLS	transport layer security
PID调节器	PID控制器
可变光衰减器	可调光衰
1980西安坐标系	1980年国家大地坐标系
原电池	非贮备式电池
原电池	一次电池
水电站财务评价	财务分析
已获利息倍数	利息保障倍数
继电保护物理模拟试验	继电保护动态模拟试验
户定制电力技术	custom power
12脉动换流阀组	12脉动换流器
局部过热监测系统	发电机状态监测器
等相位间隔控制	等间隔控制
等相位间隔控制	等距离脉冲控制
通过类	class
称之为系	set
半纤维素	hemicellulose
通信控制处理机	通信接口处理机
无源电子式电压互感器	光学电压互感器
程氏双流体循环	注蒸汽燃气轮机循环
脉冲电压法	闪测法
短网	大电流线路
燃气轮机发电厂	简单循环发电厂
超短波通信	甚高频通信
两台反应堆冷却剂泵	主泵
网损惩罚因子	penalty factor
调频器	frequency modulator
负载损耗	铜损
负载损耗	短路损耗
配电网设备状态评估	配电网设备状态评价
比较法	相对法
核保险共同体组织	pool
NSDD	再导通
NSDD	开断后重燃
NSDD	滑相
断电	动力丢失
水斗式水轮机	切击式水轮机
例行保养	日常保养
霓虹灯	气体辉光放电灯
感应耦合	inductive coupling
光敏电阻	光导管
充裕度	adequacy
充裕度	静态可靠性
反转	潮流反转
电子式互感器（应用	光电互感器
PGP	pretty good privacy
下垂控制方法	Droop控制
故障自行烧清	burning clear
南太平洋无核区条约》	拉罗汤加条约
弧端损失	斥汽损失
阿尔卑斯	地中海
直流电动机恒转矩调速	直流恒转矩调速
反应堆周期	反应堆稳定周期
刀开关	闸刀开关
刀开关	隔离开关
压缩型T接线夹	不可卸型圆形管体T接线夹
沙纹	ripples
需求	demand
核事故应急措施	应急响应行动
法国等国	保健物理
超媒体	hypermedia
主令电器	主令开关
调整能源结构	调整能源构成
后处理贸易	基本用户合同
聚类分析	cluster analysis
轻轨交通	轻轨铁路
电费违约金	电费滞纳金
水轮机	佩尔顿水轮机
核电厂应急指挥中心	应急响应中心
核电厂应急指挥中心	应急控制中心
海因里希事故因果连锁理论	海因里希模型
海因里希事故因果连锁理论	多米诺骨牌理论
按用电容量计算	按变压器容量计算
相位检波	鉴相
同步补偿机	调相机
角销	压板
进程	任务
勒夏特列原理	平衡移动原理
核电厂流出物监测以前	核电厂放射性流出物监测
不变损耗	铁损
均匀地流入澄清池第一反应室	混合室
受迫对流换热	强制对流换热
星球表面核反应堆电源	星球表面核电厂
护环	套箍
经济比较法	method of economic comparison
TRM	transmission reliability margin
试载法	拱梁分载法
视在功率	表观功率
源撬棒	crowbar
欧美各国	霍普金森电价制
第一调度员	班
电路交换域	circuit switched domain
多模色散	模式间色散
Ksps	kilo samples per second
调节准则	调节方式
低温氮碳共渗	软氮化
表层流	壤中流
水力机械	水轮
亮度	光亮度
变压器调压装置	变压器分接开关
土壤源热泵	地源热泵
倒顺开关	转换开关
围带	覆环
短路故障	short circuit failure
二次燃料再燃烧	燃料分级
国家标准化管理委员会	中华人民共和国国家标准化管理局
锰铜	manganin
光探测器	photodetector
量测量	遥测量
TTC	total transfer capability
达到平衡浓度	饱和浓度
陡波前过电压	电力系统特快速瞬态过电压
用电功率因数	力率
有用资源	useful resources
真实气体	实际气体
转差率	滑差
转差率	转差
热头	吸热器
电力消费构成	电力消费结构
一兆位	megabit
上升管	水冷壁
缩放喷管	拉瓦尔喷管
元组	tuple
直接对象	狭义的网络管理环境
LEG	leadingedge groove
水能资源	水力资源
计划停运	planned outage
多费率电能表	分时计度电能表
多费率电能表	复费率电能表
关专家参加核电技术政策研讨会	回龙观会议
二次风喷口	调风器
额定出力	rated output
固体废物储存与处置	飞灰
固体废物储存与处置	炉底灰
直接法	电阻法
直接法	TEF法
直接法	绝对法
Q曲线	功率图
TVS	瞬态抑制二极管
万维网	world wide web
保梯电抗	potier reactance
静止同步补偿器	动态静止同步补偿器
8位	bit
概念模型	信息模型
电气制动	投入制动电阻
埋弧炉	电弧电阻炉
节流调节方式	全周进汽
馈线	馈电线
电力牵引AT所	自耦变压器所
最小电压系数	cmin
数据采集系统	模拟量输入系统
输电线路走廊	输电线路通道
手车轨道位于开关柜中部	中置式开关柜
可靠容量	dependable capacity
储量	reserves
波长范围	wavelength range
HVDC	柔性直流输电系统
HVDC	常规直流输电系统
临界区域	critical areas
行程开关	限位开关
比换相压降	整流器的伏安特性
比换相压降	外特性
科学管理	水务管理
接电	装表接电
阈值电压	门限电压
热量倍增器	heat multiplier
射频识别技术	电子标签
射频识别技术	无线射频识别
辅助蒸汽系统	厂用蒸汽系统
暂时硬度	永久硬度
主轴弯曲	永久性弯曲
团队学习	team learning
推进功	流动功
额定容量	rated capacity
预防性检修	prevention maintenance
自动频率控制	二次调频
混流式水轮机	弗朗西斯水轮机
CMOS集成逻辑门	CMOS集成门
一体化除氧器	内置式除氧器
一体化除氧器	者无头除氧器
电力系统仿真装置	电力系统模拟装置
电流控制型FA	过流脉冲计数型FA
电渣重熔炉	电渣铸造炉
两位控制	继电器型控制
两位控制	双位控制
燃气轮机发电	简单循环发电
语言运行库CRL	common language runtime
关联的塑性流动	正交的流动法则
先进轻水堆	第三代轻水堆
连续开断能力试验	电寿命试验
焊条电弧焊	手弧焊
焊条电弧焊	手工电弧焊
SMTP	simple mail transfer protocol
光纤	光导纤维
相对高程	假定高程
教育	education
位移量	形式地址
放射病	辐射损伤
抽出式动力中心柜	金属铠装式开关柜
ATM适配层	AAL层
习惯上液体碳氮共渗	氰化
预计运行事件	中等频率事件
标准化原理	标准化方法原理
时间序列法	历史延伸法
时间序列法	外推法
封闭式开关柜	金属封闭开关设备
谐波测量仪表	在线式谐波监测装置
输配电价	输配电费用
基体	连续相
重水堆慢化剂系统	慢化剂主系统
交点	不稳定平衡点
催化剂	触媒剂
瓷柱式SF6断路器	支柱瓷瓶式
广域继电保护	wide area relaying protection
实时网络拓扑分析	实时结线分析
铁损	可变损耗
可控串联补偿装置	晶闸管控制的串联补偿器
太阳能	太阳辐射能
趸售转送	wholesale wheeling
有效电量	电力系统可吸收电量
电力系统容量	电力系统装机容量
电力系统容量	电力系统发电设备容量
射线检测	射线照相
工程质量控制	质量监督
水电站出力	水电站输出功率
PDMS	product data management system
由变流器	调制器
由变流器	斩波器
上述理想气体状态方程	克拉珀龙
交易管理系统	business management system
雷电监测系统	雷电定位系统
机组事件	unit event
床沙质	造床质
且区分节点	bus
光线示波器	机械示波器
降压	buck
机组额定功率	额定负荷
机组额定功率	额定出力
控制技术	控制自动化
厚拱坝	重力拱坝
阻抗方向比较式线路纵联保护	距离纵联保护
热通道因子	热管因子
架空地线	避雷线
安全级	1E级
线路调节器	line conditioner
光纤内掺杂	doping
挡油板1	滑环
心感应熔炼炉	沟槽式感应炉
锅筒	汽包
相关停运	dependent outage
概率论中	统计试验法
概率论中	统计模拟法
互部分电容	两个导体之间的互电容
需求时段	demand interval
厂站通信	站内通信
BGL气化炉	液态排渣鲁奇炉
蒸汽发生器	steam generator
触发器	锁存器
主存储器	内存
壁面函数	湍流输运模型
翻板闸门	卧倒闸门
危险状态	at risk
汽轮机超速试验	汽轮机提升转速试验
链路层接口将数据组合成数据块	帧
单位毫巴	mbar
介质加热器	工作电容器
恢复状态	restoration state
离网光伏发电系统	独立光伏发电系统
岩溶	喀斯特
